id,url,titulo,descripcion,plazo_fin,requisitos,estado,fecha_ingesta,fuente
c4ececba4acfc373,https://fundacioncerezalesantoninoycinia.org/lineas-troncales/,"FUNDACION CEREZALES ANTONINA - arte, cultura, etnoeducacion…","arte, cultura, etnoeducacion…",anual,,pendiente,2026-03-11T22:24:29.285416,csv
7cb540e0b2de6bbb,https://fundacionlacaixa.org/es/convocatorias-sociales-accion-social-ambito-rural,Caixa - accion social en el medio rural,accion social en el medio rural,4 mayo y 20 julio,1 año minimo de antiguedad,pendiente,2026-03-11T22:24:29.285439,csv
3fad8ca3495e77cf,https://www.fondationcarasso.org/es/convocatorias/#convocatorias,NINA CARASSO - arte ciudadano,arte ciudadano,abril-jun,puede ser una buena oportunidad pero quiz'as necesitemos tener algo mas de trayectoria,pendiente,2026-03-11T22:24:29.285446,csv
1c1de897d3ad5a86,https://www.recursosculturales.com/inaem-ayudas-danza-lirica-musica/,INAEM - musica y danza,musica y danza,agosto 21,https://groovelistapplication2.s3.amazonaws.com/Iberm%C3%BAsicas/2020/Bases/AYUDAS+A+FESTIVALES%2C+MERCADOS+Y+ENCUENTROS++2020.pdf,pendiente,2026-03-11T22:24:29.285452,csv
48ac0e3185e5d44e,https://www.infoayudas.com/Infoayudas-Ayudas-a-la-reforestacion-y-creacion-de-superficies-forestales-cofinanciadas-por-el-Fondo-Europeo-Agricola-de-Desarrollo-Rural-FEADER-en-el-marco-del--70399.php,JCyL - Reforestacion y creacion superficies forestales,Reforestacion y creacion superficies forestales,sept-21,,pendiente,2026-03-11T22:24:29.285458,csv
991dbe23ee193aff,https://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/convocatoria_empleaverde_emplea_2020.pdf?fbclid=IwAR3XFL4S3MlU7Kr5W4ErJSUS1WD4NsOaAv2eyN0hIH9KSH6gJc80O6HDBjQ,Fundacion Biodiversidad - empleo economia verde y social,empleo economia verde y social,sept-21,"temas empleo, tenemos que tener personas contratadas",pendiente,2026-03-11T22:24:29.285465,csv
025f330d517eb30b,http://www.fundacionsiglo.es/web/es/fundacion/ayudas-subvenciones-abiertas.html,FUNDACION SIGLO XXI - proyectos culturales para realizar festis,proyectos culturales para realizar festis,oct,,pendiente,2026-03-11T22:24:29.285469,csv
8fad99f775cc38df,https://www.recursosculturales.com/convocatoria-ibermemoria/,Ibermemoria - recuperacion sonora y audiovisual,recuperacion sonora y audiovisual,1-nov,,pendiente,2026-03-11T22:24:29.285472,csv
d88f37527478b756,https://sympathyforthelawyer.com/2019/08/21/convocatoria-de-ayudas-europeas-para-musica-en-directo-y-salas/?fbclid=IwAR1wYgp8zWe3nW6JkrU6XPid0nts-cljNcUCWWYvR6lqC8TnYq-k2UGljnQ#Plazo_de_solicitud,Sympathy for the lawyer - ayudas europeas para musica en directo,ayudas europeas para musica en directo,nov-21,,pendiente,2026-03-11T22:24:29.285477,csv
a51b710a54c747e9,https://www.recursosculturales.com/ibermusicas-ayudas-movilidad-musicos-festivales-residencias/?fbclid=IwAR217WU0RRIaVyMz4lO-YpeqlPeNWsi9jClS9S_tMRMmiu4BRNSByuj3IaQ,Ibermusicas - movilidad musicos y festivales,movilidad musicos y festivales,16-nov,,pendiente,2026-03-11T22:24:29.285480,csv
49bdf06e36a64055,https://www.recursosculturales.com/ibermusicas-ayudas-modalidad-virtual/,Ibermus.Mod Virtual - musica modalidad vistual,musica modalidad vistual,16-nov,NO ESPAÑA,pendiente,2026-03-11T22:24:29.285484,csv
609cae8b91acaf2e,https://www.subvenciones.gob.es/bdnstrans/A07/es/convocatoria/533909,j CyL - realización de festivales en Castilla y León y actividades culturales complementarias,realización de festivales en Castilla y León y actividades culturales complementarias,nov,,pendiente,2026-03-11T22:24:29.285488,csv
d7530286ebc26e3a,https://www.patagonia.com/how-we-fund/,Patagonia,Patagonia,abril y dic,"lo veo complicado, no veo que encajemos mucho",pendiente,2026-03-11T22:24:29.285492,csv
52fd4bce74156127,https://www.subvenciones.gob.es/bdnstrans/A07/es/convocatoria/541187,J C yL - realización de actividades de información y difusión de las características del sistema de producción ecológico y otras.,realización de actividades de información y difusión de las características del sistema de producción ecológico y otras.,dic,,pendiente,2026-03-11T22:24:29.285497,csv
41b468d511c71a92,https://eucyl.jcyl.es/web/es/gabinete-proyectos-europeos/educacion-cultura-deporte-turismo.html,TRANSFONTERIZA - educacion deporte,educacion deporte,,,pendiente,2026-03-11T22:24:29.285501,csv
b4261c8216b2d013,https://eucyl.jcyl.es/web/es/gabinete-proyectos-europeos/medio-ambiente-desarrollo-sostenible.html,TRANSFONTERIZA - desarrollo sost y medio ambiente,desarrollo sost y medio ambiente,,,pendiente,2026-03-11T22:24:29.285505,csv
4de79c0ef54b5dec,https://www.poctep.eu/es/2014-2020/medioambiente-cambio-clim%C3%A1tico-prevenci%C3%B3n-de-riesgos,INTERREG,INTERREG,,,pendiente,2026-03-11T22:24:29.285514,csv
1c6a86beac5ac087,https://www.subvenciones.gob.es/bdnstrans/A07/es/inicio,Sistema Nacional de Publicidad de Subvenciones y Ayudas PÃºblicas,,,,pendiente,2026-03-11T22:57:58.186604,telegram
